S.No,Customer Table,Industry Type,GST No.,Address,Point of Contact- Name,Designation,Contact No.,Email _ID,Cust_ID
1,KBI,Brake Industry,33AACCK9903B1ZX,"49, Sengadu Village, Sriperumbudur Tk, Kancheepuram Dt-602105","Seenu Gen, Sumathi Bill, Balamurugan, Gajendran","Purchase, A/C, M, GM","044-27601070, 044-27692225, 9894114732, 9597578063, 9841299956, 9940710719",,C_001
2,WOORY,Automotive,33AAACW5300Q1Z9,"A1B, MMDA Industrial Complex, Maraimalai Nagar - 603209, Kancheepuram Dist.",V.Vijayarajasekaran,Purc Dept,"9710099953, 7358380610",woory@vsnl.net,C_002
3,ROTORK (Bangalore),Other,29AAACR3438C1ZL,"165 & 166, KIADB Industrial Area, Bommasandra, Jigani Link Road, Anekal, Bangalore-562106",,,080-30981600,,C_003
4,ROTORK (Chennai),Other,33AAACR3438C1ZW,"28-B, Ambattur Industrial Estate (North) Chennai - 600098","P D Jayachandran, Geetha",A/c,"044-39555645, 9600092948",pdj@rotork.com,C_004
5,YAMARI,Temperature Sensor,33AAACY5873C1ZE,"#863, Padur Main Road, Irulapalayam, Kuthambakkam Village, Chennai - 600124",,,"044-26810025, 044-26810086, 044-26810096",,C_005
6,ATIRUM,Other,,,,,,,C_006
7,PLACKA,Instruments,33AABCP4624M1ZE,"No-5, Ramamoorthy Street, Nehru Nagar, Chrompet, Chennai-600044",,,"91-44-22231559, 22234562, 22230187",Plackainstruments@yahoo.com,C_007
8,MURUGAPPA MORGAN,Thermal Ceramics,33AAACM4385M1Z8,"Plot no.26 & 27, Sipcot Industrial Complex, Ranipet, Vellore Dist - 632403",,,"+91-4172-244313, +91-4172-245947",,C_008
9,SOUTHERN RAILWAYS,Electric Loco Shed,33AAAGM0289C1ZQ,"Southern Railways, Arakkonam-631001",Sr.DEE/RS/AJJ,,,,C_009
10,AKT PUMPS,Other,,,,,,,C_036
11,TM AUTOMOTIVE,Seating System,33AAFCT3313F1ZT,"Plot No.CP-3, Industrial Park, Oragadam, SIPCOT Industrial Park, Sriperumbudur, Kancheepuram-602105",,,,,C_010
