Material_Type,Material_Name,Grade,Finishing,Thick/dia,Material Code,Wire Diameter,Thickness,Material Code,available_quantity
Coil,SS Stainless Steel,304,Soap Coated,0.30mm ,Coil-SS Stainless Steel-304-SOAP COATED-0.30mm ,0.30mm, ,Coil-SS Stainless Steel-304-Soap Coated-0.30mm ,849
Coil,SS Stainless Steel,304,Soap Coated,0.35mm ,Coil-SS Stainless Steel-304-SOAP COATED-0.35mm ,0.35mm, ,Coil-SS Stainless Steel-304-Soap Coated-0.35mm ,85
Coil,SS Stainless Steel,304,Soap Coated,0.40mm ,Coil-SS Stainless Steel-304-SOAP COATED-0.40mm ,0.40mm, ,Coil-SS Stainless Steel-304-Soap Coated-0.40mm ,79
Coil,SS Stainless Steel,304,Soap Coated,0.45mm ,Coil-SS Stainless Steel-304-SOAP COATED-0.45mm ,0.45mm, ,Coil-SS Stainless Steel-304-Soap Coated-0.45mm ,478
Coil,SS Stainless Steel,304,Soap Coated,0.50mm ,Coil-SS Stainless Steel-304-SOAP COATED-0.50mm ,0.50mm, ,Coil-SS Stainless Steel-304-Soap Coated-0.50mm ,365
Coil,ST Spring Steel,DH,,2.60mm ,Coil-ST Spring Steel-DH-2.60mm ,2.60mm, ,Coil-ST Spring Steel-DH-2.60mm ,503
Sheet,MS Mild Steel,CR2,,3.00mm,Sheet-MS Mild Steel-CR2-3.00mm,,3.00mm,Sheet-MS Mild Steel-CR2-3.00mm,975
Sheet,MS Mild Steel,CR2,,0.50mm,Sheet-MS Mild Steel-CR2-0.50mm,,0.50mm,Sheet-MS Mild Steel-CR2-0.50mm,298
Sheet,MS Mild Steel,CR2,,1.00mm,Sheet-MS Mild Steel-CR2-1.00mm,,1.00mm,Sheet-MS Mild Steel-CR2-1.00mm,599
Sheet,MS Mild Steel,CR2,,2.00mm,Sheet-MS Mild Steel-CR2-2.00mm,,2.00mm,Sheet-MS Mild Steel-CR2-2.00mm,99
Coil,ST Spring Steel,DH,,1.40mm ,Coil-ST Spring Steel-DH-1.40mm ,1.40mm, ,Coil-ST Spring Steel-DH-1.40mm ,605
Coil,ST Spring Steel,DH,,0.30mm ,Coil-ST Spring Steel-DH-0.30mm ,0.30mm, ,Coil-ST Spring Steel-DH-0.30mm ,592
Coil,ST Spring Steel,DH,,0.40mm ,Coil-ST Spring Steel-DH-0.40mm ,0.40mm, ,Coil-ST Spring Steel-DH-0.40mm ,219
Coil,ST Spring Steel,DH,,0.45mm ,Coil-ST Spring Steel-DH-0.45mm ,0.45mm, ,Coil-ST Spring Steel-DH-0.45mm ,203
Coil,ST Spring Steel,DH,,2.80mm ,Coil-ST Spring Steel-DH-2.80mm ,2.80mm, ,Coil-ST Spring Steel-DH-2.80mm ,194
Coil,ST Spring Steel,DH,,4.00mm ,Coil-ST Spring Steel-DH-4.00mm ,4.00mm, ,Coil-ST Spring Steel-DH-4.00mm ,127
Coil,ST Spring Steel,DM,,5.80mm ,Coil-ST Spring Steel-DM-5.80mm ,5.80mm, ,Coil-ST Spring Steel-DM-5.80mm ,322
Coil,ST Spring Steel,DM,,0.35mm ,Coil-ST Spring Steel-DM-0.35mm ,0.35mm, ,Coil-ST Spring Steel-DM-0.35mm ,326
Coil,ST Spring Steel,DM,,0.50mm ,Coil-ST Spring Steel-DM-0.50mm ,0.50mm, ,Coil-ST Spring Steel-DM-0.50mm ,973
Coil,MS Mild Steel,CR2,,1.60mm ,Coil-MS Mild Steel-CR2-1.60mm ,1.60mm, ,Coil-MS Mild Steel-CR2-1.60mm ,738
Coil,ST Spring Steel,DM,,7.00mm ,Coil-ST Spring Steel-DM-7.00mm ,7.00mm, ,Coil-ST Spring Steel-DM-7.00mm ,525
Coil,ST Spring Steel,DM,,1.20mm ,Coil-ST Spring Steel-DM-1.20mm ,1.20mm, ,Coil-ST Spring Steel-DM-1.20mm ,940
Coil,ST Spring Steel,DM,,2.00mm ,Coil-ST Spring Steel-DM-2.00mm ,2.00mm, ,Coil-ST Spring Steel-DM-2.00mm ,621
Coil,ST Spring Steel,DM,,2.80mm ,Coil-ST Spring Steel-DM-2.80mm ,2.80mm, ,Coil-ST Spring Steel-DM-2.80mm ,951
Coil,SS Stainless Steel,304,Soap Coated,0.55mm ,Coil-SS Stainless Steel-304-SOAP COATED-0.55mm ,0.55mm, ,Coil-SS Stainless Steel-304-Soap Coated-0.55mm ,476
Coil,SS Stainless Steel,304,Soap Coated,0.60mm ,Coil-SS Stainless Steel-304-SOAP COATED-0.60mm ,0.60mm, ,Coil-SS Stainless Steel-304-Soap Coated-0.60mm ,595
Coil,SS Stainless Steel,304,Soap Coated,0.70mm ,Coil-SS Stainless Steel-304-SOAP COATED-0.70mm ,0.70mm, ,Coil-SS Stainless Steel-304-Soap Coated-0.70mm ,698
Coil,SS Stainless Steel,304,Soap Coated,0.80mm ,Coil-SS Stainless Steel-304-SOAP COATED-0.80mm ,0.80mm, ,Coil-SS Stainless Steel-304-Soap Coated-0.80mm ,832
Coil,SS Stainless Steel,304,Soap Coated,0.90mm ,Coil-SS Stainless Steel-304-SOAP COATED-0.90mm ,0.90mm, ,Coil-SS Stainless Steel-304-Soap Coated-0.90mm ,750
Coil,MS Mild Steel Half Round,,,0.90mm ,Coil-MS Mild Steel Half Round-0.90mm ,0.90mm, ,Coil-MS Mild Steel Half Round-0.90mm ,368
Coil,ST Spring Steel,DH,,1.00mm ,Coil-ST Spring Steel-DH-1.00mm ,1.00mm, ,Coil-ST Spring Steel-DH-1.00mm ,155
Coil,ST Spring Steel,DM,,1.40mm ,Coil-ST Spring Steel-DM-1.40mm ,1.40mm, ,Coil-ST Spring Steel-DM-1.40mm ,90
Coil,ST Spring Steel,DH,,1.50mm ,Coil-ST Spring Steel-DH-1.50mm ,1.50mm, ,Coil-ST Spring Steel-DH-1.50mm ,671
Coil,ST Spring Steel,DH,,1.80mm ,Coil-ST Spring Steel-DH-1.80mm ,1.80mm, ,Coil-ST Spring Steel-DH-1.80mm ,587
Coil,ST Spring Steel,DH,,2.00mm ,Coil-ST Spring Steel-DH-2.00mm ,2.00mm, ,Coil-ST Spring Steel-DH-2.00mm ,861
Coil,ST Spring Steel,DH,,2.50mm ,Coil-ST Spring Steel-DH-2.50mm ,2.50mm, ,Coil-ST Spring Steel-DH-2.50mm ,320
Coil,ST Spring Steel,DH,,3.80mm ,Coil-ST Spring Steel-DH-3.80mm ,3.80mm, ,Coil-ST Spring Steel-DH-3.80mm ,610
Coil,ST Spring Steel,DH,,5.00mm ,Coil-ST Spring Steel-DH-5.00mm ,5.00mm, ,Coil-ST Spring Steel-DH-5.00mm ,819
Coil,ST Spring Steel,DH,,1.60mm ,Coil-ST Spring Steel-DH-1.60mm ,1.60mm, ,Coil-ST Spring Steel-DH-1.60mm ,359
Coil,ST Spring Steel,DM,,0.20mm ,Coil-ST Spring Steel-DM-0.20mm ,0.20mm, ,Coil-ST Spring Steel-DM-0.20mm ,165
Coil,ST Spring Steel,DM,,5.00mm ,Coil-ST Spring Steel-DM-5.00mm ,5.00mm, ,Coil-ST Spring Steel-DM-5.00mm ,216
Coil,SS Stainless Steel,304,Soap Coated,1.00mm ,Coil-SS Stainless Steel-304-SOAP COATED-1.00mm ,1.00mm, ,Coil-SS Stainless Steel-304-Soap Coated-1.00mm ,201
Coil,SS Stainless Steel,304,Soap Coated,1.20mm ,Coil-SS Stainless Steel-304-SOAP COATED-1.20mm ,1.20mm, ,Coil-SS Stainless Steel-304-Soap Coated-1.20mm ,203
Coil,SS Stainless Steel,304,Soap Coated,1.50mm ,Coil-SS Stainless Steel-304-SOAP COATED-1.50mm ,1.50mm, ,Coil-SS Stainless Steel-304-Soap Coated-1.50mm ,794
Coil,SS Stainless Steel,304,Soap Coated,1.60mm ,Coil-SS Stainless Steel-304-SOAP COATED-1.60mm ,1.60mm, ,Coil-SS Stainless Steel-304-Soap Coated-1.60mm ,969
Coil,SS Stainless Steel,304,Soap Coated,1.80mm ,Coil-SS Stainless Steel-304-SOAP COATED-1.80mm ,1.80mm, ,Coil-SS Stainless Steel-304-Soap Coated-1.80mm ,91
Coil,SS Stainless Steel,304,Soap Coated,2.00mm ,Coil-SS Stainless Steel-304-SOAP COATED-2.00mm ,2.00mm, ,Coil-SS Stainless Steel-304-Soap Coated-2.00mm ,128
Coil,ST Spring Steel,DH,,2.20mm ,Coil-ST Spring Steel-DH-2.20mm ,2.20mm, ,Coil-ST Spring Steel-DH-2.20mm ,701
Coil,ST Spring Steel,DM,,3.20mm ,Coil-ST Spring Steel-DM-3.20mm ,3.20mm, ,Coil-ST Spring Steel-DM-3.20mm ,919
Coil,ST Spring Steel,DH,,3.50mm ,Coil-ST Spring Steel-DH-3.50mm ,3.50mm, ,Coil-ST Spring Steel-DH-3.50mm ,741
Coil,ST Spring Steel,DH,,0.80mm ,Coil-ST Spring Steel-DH-0.80mm ,0.80mm, ,Coil-ST Spring Steel-DH-0.80mm ,810
Coil,ST Spring Steel,DH,,0.90mm ,Coil-ST Spring Steel-DH-0.90mm ,0.90mm, ,Coil-ST Spring Steel-DH-0.90mm ,562
Coil,ST Spring Steel,DH,,1.20mm ,Coil-ST Spring Steel-DH-1.20mm ,1.20mm, ,Coil-ST Spring Steel-DH-1.20mm ,953
Coil,ST Spring Steel,DH,,2.30mm ,Coil-ST Spring Steel-DH-2.30mm ,2.30mm, ,Coil-ST Spring Steel-DH-2.30mm ,809
Coil,ST Spring Steel,DH,,3.00mm ,Coil-ST Spring Steel-DH-3.00mm ,3.00mm, ,Coil-ST Spring Steel-DH-3.00mm ,168
Coil,ST Spring Steel,DH,,4.50mm ,Coil-ST Spring Steel-DH-4.50mm ,4.50mm, ,Coil-ST Spring Steel-DH-4.50mm ,285
Coil,ST Spring Steel,DH,,6.00mm ,Coil-ST Spring Steel-DH-6.00mm ,6.00mm, ,Coil-ST Spring Steel-DH-6.00mm ,805
Coil,SS Stainless Steel,304,Soap Coated,2.40mm ,Coil-SS Stainless Steel-304-SOAP COATED-2.40mm ,2.40mm, ,Coil-SS Stainless Steel-304-Soap Coated-2.40mm ,868
Coil,SS Stainless Steel,304,Soap Coated,2.50mm ,Coil-SS Stainless Steel-304-SOAP COATED-2.50mm ,2.50mm, ,Coil-SS Stainless Steel-304-Soap Coated-2.50mm ,933
Coil,SS Stainless Steel,304,Soap Coated,3.00mm ,Coil-SS Stainless Steel-304-SOAP COATED-3.00mm ,3.00mm, ,Coil-SS Stainless Steel-304-Soap Coated-3.00mm ,599
Coil,SS Stainless Steel,304,Soap Coated,3.20mm ,Coil-SS Stainless Steel-304-SOAP COATED-3.20mm ,3.20mm, ,Coil-SS Stainless Steel-304-Soap Coated-3.20mm ,477
Coil,SS Stainless Steel,304,Soap Coated,3.50mm ,Coil-SS Stainless Steel-304-SOAP COATED-3.50mm ,3.50mm, ,Coil-SS Stainless Steel-304-Soap Coated-3.50mm ,541
Coil,SS Stainless Steel,304,Soap Coated,3.60mm ,Coil-SS Stainless Steel-304-SOAP COATED-3.60mm ,3.60mm, ,Coil-SS Stainless Steel-304-Soap Coated-3.60mm ,251
Coil,SS Stainless Steel,304,Soap Coated,4.00mm ,Coil-SS Stainless Steel-304-SOAP COATED-4.00mm ,4.00mm, ,Coil-SS Stainless Steel-304-Soap Coated-4.00mm ,752
Coil,SS Stainless Steel,304,Soap Coated,5.00mm ,Coil-SS Stainless Steel-304-SOAP COATED-5.00mm ,5.00mm, ,Coil-SS Stainless Steel-304-Soap Coated-5.00mm ,943
Coil,SS Stainless Steel,304,Soap Coated,6.00mm ,Coil-SS Stainless Steel-304-SOAP COATED-6.00mm ,6.00mm, ,Coil-SS Stainless Steel-304-Soap Coated-6.00mm ,486
Coil,ST Spring Steel,DM,,0.60mm ,Coil-ST Spring Steel-DM-0.60mm ,0.60mm, ,Coil-ST Spring Steel-DM-0.60mm ,303
