S.No,Product_Code,Cust_ID,IPC_Code,gram/product,Product_Type,Spring_Type,Material_Code,Material_Type,Material_Name,Grade,Finishing,Wire_dia,Coiling/Forming,Stress_Relieving,Coating,Grinding,Plating,Blackening
1,KBI-RBI-GM79633300D3-1.80mm,C_001,RBI-GM79633300D3-1.80mm,8.000,Spring,TENSION SPRING,Coil-ST Spring Steel-DH-1.80mm,Coil,ST Spring Steel,DH,,1.80mm,Coiling,Stress_Relieving,,,Olive_Green,
2,KBI-IB/GB-GL940A1200A-1.60mm,C_001,IB/GB-GL940A1200A-1.60mm,5.150,Spring,TENSION SPRING,Coil-ST Spring Steel-DH-1.60mm,Coil,ST Spring Steel,DH,,1.60mm,Coiling,Stress_Relieving,,,,
3,KBI-TATA-E Rev-GL951A1900-1.80mm,C_001,TATA-E Rev-GL951A1900-1.80mm,7.100,Spring,TENSION SPRING,Coil-ST Spring Steel-DH-1.80mm,Coil,ST Spring Steel,DH,,1.80mm,Coiling,Stress_Relieving,,,,
4,KBI-TATA-X104-GL951X1040-1.40mm,C_001,TATA-X104-GL951X1040-1.40mm,7.450,Spring,TENSION SPRING,Coil-ST Spring Steel-DH-1.40mm,Coil,ST Spring Steel,DH,,1.40mm,Coiling,Stress_Relieving,,,,
5,KBI-WIRE SPRING-F-GM796A1300-F-2.80mm,C_001,WIRE SPRING-F-GM796A1300-F-2.80mm,10.300,Spring,WIRE FORM SPRING,Coil-ST Spring Steel-DH-2.80mm,Coil,ST Spring Steel,DH,,2.80mm,Forming,Stress_Relieving,PVC_Coating,,,
6,KBI-SPRING ASS'Y-GL95156200-1.50mm,C_001,SPRING ASS'Y-GL95156200-1.50mm,7.120,Spring,TENSION SPRING,Coil-ST Spring Steel-DH-1.50mm,Coil,ST Spring Steel,DH,,1.50mm,Coiling,Stress_Relieving,,,,
7,KBI-CONICAL SPRING-GZ441W6100A-2.00mm,C_001,CONICAL SPRING-GZ441W6100A-2.00mm,6.510,Spring,TENSION SPRING,Coil-ST Spring Steel-DH-2.00mm,Coil,ST Spring Steel,DH,,2.00mm,Coiling,Stress_Relieving,,,,
8,WOORY-SPRING DETENT (BA/IA)-201502358500-0.30mm,C_002,SPRING DETENT (BA/IA)-201502358500-0.30mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.30mm,Coil,SS Stainless Steel,304,Soap Coated,0.30mm,Coiling,Stress_Relieving,,,,
9,WOORY-BA-TEMP-201502357001-0.35mm,C_002,BA-TEMP-201502357001-0.35mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Bright-0.35mm,Coil,SS Stainless Steel,304,Bright,0.35mm,Coiling,Stress_Relieving,,,,
10,WOORY-BA-MODE-201502357010-0.40mm,C_002,BA-MODE-201502357010-0.40mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Bright-0.40mm,Coil,SS Stainless Steel,304,Bright,0.40mm,Coiling,Stress_Relieving,,,,
11,WOORY-IB-TEMP-201502390000-0.40mm,C_002,IB-TEMP-201502390000-0.40mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Bright-0.40mm,Coil,SS Stainless Steel,304,Bright,0.40mm,Coiling,Stress_Relieving,,,,
12,WOORY-IB-MODE-201502390010-0.45mm,C_002,IB-MODE-201502390010-0.45mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Bright-0.45mm,Coil,SS Stainless Steel,304,Bright,0.45mm,Coiling,Stress_Relieving,,,,
13,WOORY-AH2-INTAKE-201502522000-0.60mm,C_002,AH2-INTAKE-201502522000-0.60mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.60mm,Coil,SS Stainless Steel,304,Soap Coated,0.60mm,Coiling,Stress_Relieving,,,,
14,WOORY-AH2-BLOWER-201502522031-0.30mm,C_002,AH2-BLOWER-201502522031-0.30mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.30mm,Coil,SS Stainless Steel,304,Soap Coated,0.30mm,Coiling,Stress_Relieving,,,,
15,WOORY-AH2-M-CONTACTOR-201502522040-0.80mm,C_002,AH2-M-CONTACTOR-201502522040-0.80mm,0.560,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Soap Coated-0.80mm,Coil,SS Stainless Steel,304,Soap Coated,0.80mm,Coiling,Stress_Relieving,,,,
16,WOORY-AH2-TEMP-201502522010-0.40mm,C_002,AH2-TEMP-201502522010-0.40mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Bright-0.40mm,Coil,SS Stainless Steel,304,Bright,0.40mm,Coiling,Stress_Relieving,,,,
17,WOORY-AH2-MODE-201502522023-0.45mm,C_002,AH2-MODE-201502522023-0.45mm,,Spring,COMPRESSION SPRING,Coil-SS Stainless Steel-304-Bright-0.45mm,Coil,SS Stainless Steel,304,Bright,0.45mm,Coiling,Stress_Relieving,,,,
